id,originalUrl,migratedUrl,category,subCategory,sheet
mutual-funds,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds,Personal,Save & Invest,TH Pages - Categorized
b-ir-fof,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Alternative-Asset-Funds/B-IR-FOF,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/alternative-asset-funds/b-ir-fof,Personal,Save & Invest,TH Pages - Categorized
bcap-eespe-ui,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Alternative-Asset-Funds/BCAP-EESPE-UI,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/alternative-asset-funds/bcap-eespe-ui,Personal,Save & Invest,TH Pages - Categorized
bcap-epc-ui,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Alternative-Asset-Funds/BCAP-EPC-UI,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/alternative-asset-funds/bcap-epc-ui,Personal,Save & Invest,TH Pages - Categorized
bcap-epe-ui,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Alternative-Asset-Funds/BCAP-EPE-UI,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/alternative-asset-funds/bcap-epe-ui,Personal,Save & Invest,TH Pages - Categorized
bcap-gprop,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Alternative-Asset-Funds/BCAP-GPROP,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/alternative-asset-funds/bcap-gprop,Personal,Save & Invest,TH Pages - Categorized
bgold,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Alternative-Asset-Funds/BGOLD,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/alternative-asset-funds/bgold,Personal,Save & Invest,TH Pages - Categorized
b-fixterm,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Auto-Redemption-Funds/B-FIXTERM,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/auto-redemption-funds/b-fixterm,Personal,Save & Invest,TH Pages - Categorized
b-thanarat,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Auto-Redemption-Funds/B-Thanarat,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/auto-redemption-funds/b-thanarat,Personal,Save & Invest,TH Pages - Categorized
bp-ai,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Auto-Redemption-Funds/BP-AI,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/auto-redemption-funds/bp-ai,Personal,Save & Invest,TH Pages - Categorized
bcap-thaiesgx-promotion,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/BCAP-ThaiESGX-Promotion,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/bcap-thaiesgx-promotion,Personal,Save & Invest,TH Pages - Categorized
b-asean,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/B-ASEAN,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/b-asean,Personal,Save & Invest,TH Pages - Categorized
b-basicplus,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/B-BASICPLUS,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/b-basicplus,Personal,Save & Invest,TH Pages - Categorized
b-equity,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/B-EQUITY,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/b-equity,Personal,Save & Invest,TH Pages - Categorized
b-infra,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/B-INFRA,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/b-infra,Personal,Save & Invest,TH Pages - Categorized
b-smeq,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/B-SMEQ,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/b-smeq,Personal,Save & Invest,TH Pages - Categorized
b-thaicg,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/B-THAICG,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/b-thaicg,Personal,Save & Invest,TH Pages - Categorized
b-topten,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/B-TOPTEN,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/b-topten,Personal,Save & Invest,TH Pages - Categorized
bbasic,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BBASIC,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/bbasic,Personal,Save & Invest,TH Pages - Categorized
bcap-aquant,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BCAP-AQUANT,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/bcap-aquant,Personal,Save & Invest,TH Pages - Categorized
bcap-mscith,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BCAP-MSCITH,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/bcap-mscith,Personal,Save & Invest,TH Pages - Categorized
bcap-set,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BCAP-SET,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/bcap-set,Personal,Save & Invest,TH Pages - Categorized
bka,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BKA,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/bka,Personal,Save & Invest,TH Pages - Categorized
bka2,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BKA2,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/bka2,Personal,Save & Invest,TH Pages - Categorized
bkd,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BKD,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/bkd,Personal,Save & Invest,TH Pages - Categorized
bkind,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BKIND,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/bkind,Personal,Save & Invest,TH Pages - Categorized
bsiricg,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BSIRICG,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/bsiricg,Personal,Save & Invest,TH Pages - Categorized
btk,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BTK,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/btk,Personal,Save & Invest,TH Pages - Categorized
btp,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Equity-Funds/BTP,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/equity-funds/btp,Personal,Save & Invest,TH Pages - Categorized
bmscith,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/ETF-Funds/BMSCITH,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/etf-funds/bmscith,Personal,Save & Invest,TH Pages - Categorized
bset100,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/ETF-Funds/BSET100,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/etf-funds/bset100,Personal,Save & Invest,TH Pages - Categorized
b-enhanced,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Fixed-Income-Funds/B-ENHANCED,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/fixed-income-funds/b-enhanced,Personal,Save & Invest,TH Pages - Categorized
b-st,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Fixed-Income-Funds/B-ST,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/fixed-income-funds/b-st,Personal,Save & Invest,TH Pages - Categorized
b-stplus,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Fixed-Income-Funds/B-STPLUS,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/fixed-income-funds/b-stplus,Personal,Save & Invest,TH Pages - Categorized
b-tntv,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Fixed-Income-Funds/B-TNTV,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/fixed-income-funds/b-tntv,Personal,Save & Invest,TH Pages - Categorized
bcap-dhsl,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Fixed-Income-Funds/BCAP-DHSL,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/fixed-income-funds/bcap-dhsl,Personal,Save & Invest,TH Pages - Categorized
bcap-gfio,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Fixed-Income-Funds/BCAP-GFIO,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/fixed-income-funds/bcap-gfio,Personal,Save & Invest,TH Pages - Categorized
bfixed,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Fixed-Income-Funds/BFIXED,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/fixed-income-funds/bfixed,Personal,Save & Invest,TH Pages - Categorized
b-asia,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-ASIA,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-asia,Personal,Save & Invest,TH Pages - Categorized
b-asiatech,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-ASIATECH,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-asiatech,Personal,Save & Invest,TH Pages - Categorized
b-bharata,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-BHARATA,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-bharata,Personal,Save & Invest,TH Pages - Categorized
b-chine-eq,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-CHINE-EQ,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-chine-eq,Personal,Save & Invest,TH Pages - Categorized
b-cna500p,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-CNA500P,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-cna500p,Personal,Save & Invest,TH Pages - Categorized
b-cnnext,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-CNNEXT,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-cnnext,Personal,Save & Invest,TH Pages - Categorized
b-dynamic-bond,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-DYNAMIC-BOND,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-dynamic-bond,Personal,Save & Invest,TH Pages - Categorized
b-eupassive,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-EUPASSIVE,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-eupassive,Personal,Save & Invest,TH Pages - Categorized
b-fintech,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-FINTECH,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-fintech,Personal,Save & Invest,TH Pages - Categorized
b-future,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-FUTURE,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-future,Personal,Save & Invest,TH Pages - Categorized
b-glob-infra,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-GLOB-INFRA,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-glob-infra,Personal,Save & Invest,TH Pages - Categorized
b-global,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-GLOBAL,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-global,Personal,Save & Invest,TH Pages - Categorized
b-gto,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-GTO,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-gto,Personal,Save & Invest,TH Pages - Categorized
b-hy-ai,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-HY-AI,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-hy-ai,Personal,Save & Invest,TH Pages - Categorized
b-innotech,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-INNOTECH,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-innotech,Personal,Save & Invest,TH Pages - Categorized
b-jppassive,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-JPPASSIVE,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-jppassive,Personal,Save & Invest,TH Pages - Categorized
b-nippon,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-NIPPON,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-nippon,Personal,Save & Invest,TH Pages - Categorized
b-opp,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-OPP,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-opp,Personal,Save & Invest,TH Pages - Categorized
b-premium,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-PREMIUM,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-premium,Personal,Save & Invest,TH Pages - Categorized
b-sip,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-SIP,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-sip,Personal,Save & Invest,TH Pages - Categorized
b-us2000p,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-US2000P,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-us2000p,Personal,Save & Invest,TH Pages - Categorized
b-usalpha,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-USALPHA,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-usalpha,Personal,Save & Invest,TH Pages - Categorized
b-uspassive,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-USPASSIVE,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-uspassive,Personal,Save & Invest,TH Pages - Categorized
b-vietnam,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/B-VIETNAM,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/b-vietnam,Personal,Save & Invest,TH Pages - Categorized
bcap-clean,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-CLEAN,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-clean,Personal,Save & Invest,TH Pages - Categorized
bcap-ctech,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-CTECH,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-ctech,Personal,Save & Invest,TH Pages - Categorized
bcap-disrupt,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-DISRUPT,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-disrupt,Personal,Save & Invest,TH Pages - Categorized
bcap-ge,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-GE,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-ge,Personal,Save & Invest,TH Pages - Categorized
bcap-gfia,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-GFIA,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-gfia,Personal,Save & Invest,TH Pages - Categorized
bcap-gmaseries,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-GMASeries,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-gmaseries,Personal,Save & Invest,TH Pages - Categorized
bcap-mnh-ui,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-MNH-UI,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-mnh-ui,Personal,Save & Invest,TH Pages - Categorized
bcap-usl,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-USL,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-usl,Personal,Save & Invest,TH Pages - Categorized
bcap-usnd100,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-USND100,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-usnd100,Personal,Save & Invest,TH Pages - Categorized
bcap-xdigi,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-XDIGI,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-xdigi,Personal,Save & Invest,TH Pages - Categorized
bcap-xhealth,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCAP-XHEALTH,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcap-xhealth,Personal,Save & Invest,TH Pages - Categorized
bcare,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Foreign-Investment-Funds/BCARE,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/foreign-investment-funds/bcare,Personal,Save & Invest,TH Pages - Categorized
mftaxsaving68,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/MFTAXSAVING68,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mftaxsaving68,Personal,Save & Invest,TH Pages - Categorized
b-active,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mixed-Funds/B-ACTIVE,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mixed-funds/b-active,Personal,Save & Invest,TH Pages - Categorized
b-flex,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mixed-Funds/B-FLEX,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mixed-funds/b-flex,Personal,Save & Invest,TH Pages - Categorized
b-income,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mixed-Funds/B-INCOME,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mixed-funds/b-income,Personal,Save & Invest,TH Pages - Categorized
b-mixed75,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mixed-Funds/B-MIXED75,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mixed-funds/b-mixed75,Personal,Save & Invest,TH Pages - Categorized
b-senior,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mixed-Funds/B-SENIOR,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mixed-funds/b-senior,Personal,Save & Invest,TH Pages - Categorized
b-senior-x,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mixed-Funds/B-SENIOR-X,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mixed-funds/b-senior-x,Personal,Save & Invest,TH Pages - Categorized
bcap-gtac,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mixed-Funds/BCAP-GTAC,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mixed-funds/bcap-gtac,Personal,Save & Invest,TH Pages - Categorized
bcap-gw,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mixed-Funds/BCAP-GW,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mixed-funds/bcap-gw,Personal,Save & Invest,TH Pages - Categorized
bmaps,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mixed-Funds/BMAPS,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mixed-funds/bmaps,Personal,Save & Invest,TH Pages - Categorized
b-treasury,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Money-Market-Funds/B-TREASURY,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/money-market-funds/b-treasury,Personal,Save & Invest,TH Pages - Categorized
mutual-funds-compare-result,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Mutual-Funds-Compare-Result,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/mutual-funds-compare-result,Personal,Save & Invest,TH Pages - Categorized
openmfonmobile68,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/OpenMFonMobile68,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/openmfonmobile68,Personal,Save & Invest,TH Pages - Categorized
b-aseanrmf,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Retirement-Mutual-Funds/B-ASEANRMF,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/retirement-mutual-funds/b-aseanrmf,Personal,Save & Invest,TH Pages - Categorized
b-asiarmf,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Retirement-Mutual-Funds/B-ASIARMF,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/retirement-mutual-funds/b-asiarmf,Personal,Save & Invest,TH Pages - Categorized
b-asiatechrmf,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Retirement-Mutual-Funds/B-ASIATECHRMF,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/retirement-mutual-funds/b-asiatechrmf,Personal,Save & Invest,TH Pages - Categorized
b-chinaarmf,https://www.bangkokbank.com/th-TH/Personal/Save-And-Invest/Mutual-Funds/Retirement-Mutual-Funds/B-CHINAARMF,https://prod-aem.bangkokbank.com/th/personal/save-and-invest/mutual-funds/retirement-mutual-funds/b-chinaarmf,Personal,Save & Invest,TH Pages - Categorized
